time,X_value,Y_value,Z_value
Started:,Dec 05 2019,19:04:11:855, 
0.0236,-2.60717,-5.09225,7.80596
0.0337,-2.62393,-5.05514,7.74371
0.0661,-2.58563,-5.03240,7.69583
0.0929,-2.56288,-5.11858,7.73653
0.0934,-2.55570,-5.12337,7.80596
0.1331,-2.56887,-5.08028,7.80835
0.1331,-2.56887,-5.07070,7.80237
0.1532,-2.57485,-5.07669,7.72336
0.1726,-2.55450,-5.07429,7.70780
0.1990,-2.59999,-5.10182,7.76287
0.2117,-2.57246,-5.16168,7.72695
0.2514,-2.55211,-5.17844,7.71498
0.2514,-2.51261,-5.12217,7.68027
0.2700,-2.56767,-5.14133,7.67907
0.3312,-2.55211,-5.18442,7.74252
0.3312,-2.54373,-5.15809,7.79040
0.3312,-2.51859,-5.16287,7.83229
0.3521,-2.48268,-5.13175,7.80716
0.3748,-2.49465,-5.08147,7.74132
0.3903,-2.56288,-5.05514,7.72576
0.4289,-2.62992,-5.06112,7.83469
0.4489,-2.67301,-5.14612,7.90891
0.4489,-2.62992,-5.22512,7.85504
0.4984,-2.67660,-5.19160,7.72935
0.4996,-2.71012,-5.11020,7.64915
0.5119,-2.67780,-5.17125,7.68027
0.5326,-2.63231,-5.26223,7.78441
0.5528,-2.57964,-5.21554,7.80237
0.5679,-2.54612,-5.21435,7.77723
0.5998,-2.58323,-5.21076,7.75568
0.6284,-2.57366,-5.14372,7.72576
0.6299,-2.55211,-5.14851,7.72217
0.6531,-2.53774,-5.22273,7.74012
0.6678,-2.52338,-5.22033,7.76526
0.6876,-2.51500,-5.22991,7.74371
0.7328,-2.51380,-5.27659,7.75927
0.7328,-2.51620,-5.35320,7.74491
0.7486,-2.57007,-5.37954,7.69224
0.7777,-2.62992,-5.36996,7.72336
0.8003,-2.72568,-5.39750,7.79279
0.8075,-2.60478,-5.32567,7.88137
0.8526,-2.56767,-5.30652,7.76167
0.8526,-2.68738,-5.19759,7.65513
0.8667,-2.76279,-5.10542,7.56056
0.8974,-2.88130,-4.99888,7.41812
0.9247,-3.08719,-4.93783,7.48754
0.9247,-3.19492,-4.84206,7.73414
0.9538,-3.11712,-4.74510,7.77843
0.9729,-3.22365,-4.73672,7.62640
0.9845,-3.34336,-4.77144,7.59288
1.0242,-3.35653,-4.80735,7.61204
1.0488,-3.26914,-4.71039,7.59049
1.0488,-3.18535,-4.67567,7.48276
1.0668,-3.27752,-4.69962,7.39777
1.0927,-3.27034,-4.76426,7.40255
1.1035,-3.30745,-4.80496,7.49832
1.1328,-3.43433,-4.85523,7.52226
1.1529,-3.46187,-4.88276,7.47797
1.1642,-3.38286,-4.89952,7.54021
1.2003,-3.41398,-4.94381,7.46719
1.2003,-3.49419,-4.99409,7.38101
1.2226,-3.50257,-5.04317,7.44684
1.2523,-3.49898,-5.17484,7.51986
1.2664,-3.40201,-5.18921,7.56296
1.2819,-3.40201,-5.21195,7.52944
1.3342,-3.44032,-5.29814,7.55817
1.3342,-3.41159,-5.29455,7.58331
1.3400,-3.34815,-5.31610,7.51867
1.3773,-3.50017,-5.39031,7.46121
1.4016,-3.44271,-5.40468,7.53064
1.4017,-3.50257,-5.41785,7.47557
1.4306,-3.50137,-5.38313,7.40136
1.4532,-3.49538,-5.39869,7.39537
1.4597,-3.53130,-5.50762,7.45522
1.4993,-3.43433,-5.51241,7.34390
1.5192,-3.37448,-5.50523,7.35347
1.5192,-3.47863,-5.56867,7.25651
1.5529,-3.53369,-5.47650,7.24933
1.5799,-3.44870,-5.39151,7.30200
1.5799,-3.35533,-5.40109,7.30918
1.6007,-3.36850,-5.42383,7.32953
1.6277,-3.27393,-5.36637,7.42171
1.6368,-3.20809,-5.36518,7.45522
1.6669,-3.26076,-5.38313,7.38101
1.6974,-3.35653,-5.34243,7.33672
1.6991,-3.43314,-5.33046,7.30320
1.7335,-3.45349,-5.31729,7.29243
1.7527,-3.44391,-5.26941,7.17272
1.7554,-3.45588,-5.26821,7.15836
1.8000,-3.58516,-5.29335,7.16673
1.8000,-3.64382,-5.22632,7.19187
1.8168,-3.61629,-5.24188,7.24933
1.8526,-3.47623,-5.25505,7.30559
1.8673,-3.47503,-5.19160,7.26489
1.8753,-3.49898,-5.15809,7.21701
1.9336,-3.47623,-5.21435,7.28764
1.9336,-3.47264,-5.34243,7.41452
1.9337,-3.54446,-5.40947,7.43487
1.9657,-3.60432,-5.39271,7.35946
1.9933,-3.58277,-5.32088,7.30559
1.9933,-3.61988,-5.41306,7.17751
2.0329,-3.67135,-5.55431,7.16314
2.0549,-3.64142,-5.55790,7.16673
2.0549,-3.59235,-5.43700,7.13920
2.0927,-3.48341,-5.34842,7.17990
2.1131,-3.39842,-5.35440,7.26010
2.1131,-3.44032,-5.43939,7.33073
2.1332,-3.50735,-5.45735,7.37742
2.1529,-3.54686,-5.36877,7.36066
2.1728,-3.62945,-5.31370,7.27926
2.1996,-3.65220,-5.37116,7.20384
2.2324,-3.66896,-5.35560,7.18349
2.2340,-3.72163,-5.30772,7.14638
2.2534,-3.74796,-5.36637,7.17033
2.2919,-3.78507,-5.44298,7.23257
2.2919,-3.77190,-5.39869,7.13681
2.3328,-3.72163,-5.33046,7.10090
2.3328,-3.71205,-5.34004,7.14638
2.3509,-3.65938,-5.32448,7.14998
2.3799,-3.54087,-5.32328,7.21342
2.4001,-3.49299,-5.44298,7.29003
2.4092,-3.38765,-5.50284,7.29362
2.4525,-3.38526,-5.55192,7.17990
2.4525,-3.44152,-5.50882,7.03027
2.4690,-3.47144,-5.50044,6.93211
2.4996,-3.52531,-5.58543,6.93331
2.5280,-3.56002,-5.58902,6.99915
2.5280,-3.53489,-5.47171,7.13801
2.5528,-3.42356,-5.29335,7.20743
2.5770,-3.48341,-5.20956,7.24694
2.5879,-3.50855,-5.26941,7.30080
2.6287,-3.58516,-5.38433,7.44804
2.6484,-3.68571,-5.52438,7.47198
2.6484,-3.69649,-5.57346,7.41213
2.6663,-3.58157,-5.52199,7.28405
2.6962,-3.57439,-5.47171,7.15955
2.7066,-3.59594,-5.47530,7.06020
2.7327,-3.64741,-5.55431,7.04344
2.7526,-3.69529,-5.65366,7.13681
2.7690,-3.63304,-5.74225,7.22060
2.8003,-3.56002,-5.80449,7.17033
2.8247,-3.57319,-5.80808,7.01591
2.8248,-3.57200,-5.71352,6.94049
2.8524,-3.51693,-5.61416,6.88184
2.8669,-3.45947,-5.62972,7.01112
2.8852,-3.35054,-5.65247,7.12843
2.9339,-3.36012,-5.67401,7.08055
2.9339,-3.49658,-5.65366,7.06858
2.9429,-3.59474,-5.50762,7.01471
2.9751,-3.68093,-5.57466,6.84353
2.9997,-3.67614,-5.58184,7.02069
3.0023,-3.55165,-5.61177,6.92254
3.0358,-3.47863,-5.48488,7.05421
3.0536,-3.42476,-5.56269,6.95486
3.0631,-3.47384,-5.60339,7.24215
3.0923,-3.46426,-5.70514,7.22180
3.1225,-3.44152,-5.69556,7.31038
3.1225,-3.36012,-5.43341,7.29482
3.1525,-3.34815,-5.39151,7.34270
3.1803,-3.45229,-5.52199,7.63598
3.1803,-3.55763,-5.44298,7.51747
3.2020,-3.62706,-5.63451,7.34629
3.2312,-3.56960,-5.61895,7.22180
3.2395,-3.46546,-5.44897,7.20863
3.2666,-3.50137,-5.49805,6.88902
3.3027,-3.53608,-5.43580,6.74059
3.3042,-3.58995,-5.22871,6.71186
3.3355,-3.50376,-5.17844,6.74418
3.3533,-3.36969,-5.32088,6.99436
3.3592,-3.22844,-5.33286,7.13681
3.3995,-3.24161,-5.42862,7.23257
3.3995,-3.43433,-5.36398,7.25532
3.4188,-3.56601,-5.31131,7.22898
3.4532,-3.57559,-5.29575,7.32355
3.4673,-3.45588,-5.21914,7.46719
3.4782,-3.42955,-5.28258,7.54021
3.5328,-3.33259,-5.21554,7.58331
3.5328,-3.25358,-5.08147,7.64915
3.5360,-3.32301,-5.29216,7.46360
3.5789,-3.51693,-5.43580,7.14279
3.5975,-3.57559,-5.38074,6.93690
3.5975,-3.62586,-5.34483,6.95486
3.6261,-3.59953,-5.35440,7.01830
3.6527,-3.57319,-5.41066,7.23616
3.6563,-3.62107,-5.34243,7.32355
3.6998,-3.72163,-5.26343,7.29482
3.7185,-3.80901,-5.24667,7.27207
3.7185,-3.91914,-5.30532,7.08893
