time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:11:00:145, 
0.0195,-0.71943,-2.71850,9.64104
0.0305,-0.93968,-2.56528,9.20770
0.0480,-1.11924,-2.53535,9.14546
0.0682,-0.83075,-2.45156,9.00780
0.0902,-0.91335,-2.54852,9.13828
0.1149,-1.00911,-2.57844,9.29748
0.1421,-0.75893,-2.49465,9.32741
0.1512,-0.69908,-2.49824,9.21967
0.1703,-0.91694,-2.60358,9.03653
0.1808,-1.04383,-2.65027,8.95513
0.2092,-0.95165,-2.71610,8.89288
0.2194,-0.82716,-2.65266,8.76839
0.2656,-0.82836,-2.62034,8.68100
0.2660,-0.78407,-2.74244,8.53257
0.2807,-0.65598,-2.70653,8.34224
0.3183,-0.51713,-2.66104,8.30034
0.3183,-0.50156,-2.57007,8.10881
0.3631,-0.67873,-2.63949,8.11001
0.3631,-0.77090,-2.76279,8.13275
0.3817,-0.63204,-2.75082,8.22253
0.4066,-0.63683,-2.84419,8.35540
0.4196,-0.83075,-3.16979,8.40688
0.4460,-0.86786,-3.32421,8.39371
0.4660,-0.87265,-3.48102,8.54933
0.4962,-1.16593,-3.71325,8.40688
0.4962,-1.51427,-3.68811,8.12078
0.5198,-1.66510,-3.53608,8.16866
0.5665,-1.57292,-3.50257,8.47870
0.5666,-1.39097,-3.62586,8.97548
0.6054,-1.22578,-3.72522,9.15862
0.6054,-1.12523,-3.64023,9.04490
0.6204,-1.19466,-3.74796,8.94675
0.6655,-1.32154,-4.16094,8.91323
0.6673,-1.52025,-4.53203,8.81866
0.6858,-1.72016,-4.70680,8.65946
0.6967,-1.80874,-4.78820,8.61157
0.7205,-1.78001,-4.95459,8.56609
0.7454,-1.74889,-4.82890,8.54693
0.7639,-1.70340,-4.65772,8.54095
0.8065,-1.75009,-4.82052,8.65347
0.8078,-1.98830,-5.15928,8.72529
0.8203,-2.10441,-5.26702,8.79233
0.8637,-2.05773,-5.18083,8.69776
0.8637,-1.92964,-5.06232,8.61038
0.8971,-1.90929,-4.98332,8.40927
0.8971,-2.18222,-4.93184,8.25126
0.9229,-2.56767,-5.00486,8.21894
0.9657,-2.85137,-5.13654,8.14233
0.9657,-2.86454,-5.08507,8.09445
0.9822,-2.61316,-5.00367,8.12437
1.0008,-2.28277,-5.10901,8.16388
1.0207,-2.23848,-5.17604,8.17345
1.0311,-2.41205,-5.35680,8.23570
1.0729,-2.45754,-5.53396,8.04657
1.0964,-2.49944,-5.36637,8.22373
1.0965,-2.84898,-5.15689,8.05135
1.1215,-2.98185,-5.10661,7.90891
1.1405,-3.01896,-5.25983,7.86581
1.1614,-2.73526,-5.26462,7.70780
1.1703,-2.37854,-5.05514,7.70900
1.2010,-2.13075,-5.12337,8.48828
1.2209,-2.07449,-5.35081,8.58524
1.2293,-2.57725,-5.25385,8.09205
1.2699,-3.55643,-5.08746,7.61563
1.2782,-4.18488,-5.05275,7.36664
1.2984,-3.67255,-4.87079,7.48635
1.3211,-2.86933,-4.85044,7.71379
1.3391,-2.69815,-4.86241,8.03100
1.3651,-2.78912,-4.90192,8.17465
1.3702,-2.88848,-5.02641,8.19380
1.3979,-3.20690,-5.10302,8.20817
1.4199,-3.35653,-4.99050,7.99270
1.4304,-3.36491,-4.87798,7.80596
1.4570,-3.22246,-4.97973,7.80835
1.4677,-3.07163,-4.88995,7.88377
