time,X_value,Y_value,Z_value
Started:,Dec 05 2019,19:00:06:119, 
0.0169,-0.10534,-1.14797,9.47824
0.0406,-0.18075,-0.98876,9.05089
0.0406,-0.38784,-1.34788,8.99224
0.0840,-0.22026,-1.42449,9.15862
0.0840,-0.02394,-1.22338,9.03892
0.0994,-0.31004,-1.29281,8.92281
0.1193,-0.45248,-1.38977,8.86535
0.1486,-0.34236,-1.55976,8.89886
0.1581,-0.14245,-1.69263,8.92161
0.1878,-0.11252,-1.50349,8.81028
0.1995,-0.24899,-1.12283,8.87253
0.2182,-0.25617,-1.18268,9.10117
0.2472,-0.33996,-1.61841,9.14905
0.2776,-0.07541,-1.76325,9.19693
0.2776,0.31722,-1.69861,9.23524
0.2993,0.43094,-1.71417,8.82824
0.3184,0.70267,-1.33471,8.20697
0.3368,0.67154,-0.82716,7.64795
0.3869,0.46565,-0.81160,7.40734
0.3869,0.47643,-1.25451,7.28524
0.3965,0.84033,-1.63517,7.22659
0.4166,1.22817,-1.55018,7.30679
0.4560,0.90138,-1.23655,7.30080
0.4560,-0.12928,-1.41252,7.67189
0.4846,-0.80442,-1.84465,8.23929
0.5000,-1.09051,-2.09603,8.79592
0.5180,-1.89373,-2.32228,9.49619
0.5498,-2.17624,-2.35699,9.66019
0.5754,-2.73765,-2.78194,10.31976
0.5755,-3.12190,-3.33498,10.64297
0.6003,-2.77955,-3.16500,10.70282
0.6174,-2.36058,-2.99382,10.53882
0.6356,-1.81951,-3.10634,10.38919
0.6859,-1.21620,-3.19852,10.00135
0.6860,-0.80561,-3.09557,9.66977
0.6944,-0.01556,-3.16620,9.59076
0.7197,0.62007,-3.59474,9.60991
0.7496,1.01390,-3.74437,9.39804
0.7520,0.83075,-4.12144,9.61949
0.7825,0.72421,-4.82411,9.63864
0.7997,1.07375,-4.98212,9.68533
0.8125,1.21620,-5.12696,9.70089
0.8527,1.31316,-5.27300,9.69251
0.8727,0.93729,-5.49087,9.60273
0.8727,0.96243,-5.96490,10.16295
