time,X_value,Y_value,Z_value
Started:,Dec 05 2019,17:55:46:145, 
0.0480,2.14392,0.77329,9.51415
0.0480,2.04097,0.40700,9.46387
0.0604,2.25165,0.49318,9.45430
0.1153,2.50902,0.74456,9.58837
0.1159,2.61196,0.87025,9.55006
0.1224,2.41086,0.83554,9.25559
0.1680,2.54732,0.67035,9.19813
0.1680,2.75202,0.86547,9.25439
0.1780,2.49824,0.92173,9.22805
0.2081,2.45635,0.72421,9.16341
0.2387,2.56647,0.75893,9.17419
0.2388,2.52338,0.97679,9.10476
0.2644,2.39410,0.96602,8.92879
0.2982,2.25404,0.94567,8.76360
0.2982,2.29235,1.13959,8.76719
0.3173,2.25764,1.61841,8.96949
0.3573,2.29953,1.64953,9.08082
0.3573,2.37854,1.29401,9.03772
0.3814,2.32347,1.28922,8.93597
0.4056,2.27200,1.55976,9.09279
0.4166,2.23250,1.38020,9.31065
0.4478,2.38931,1.06896,9.11433
0.4655,2.65984,0.94327,9.04969
0.4763,2.39170,1.28084,8.97787
0.5157,2.42522,1.38259,9.14546
0.5158,2.53415,1.16832,9.21249
0.5348,2.55690,0.96243,8.92759
0.5684,2.49106,0.69668,8.63910
0.5831,2.62393,0.66915,8.58165
0.5956,2.78434,0.94327,8.71691
0.6178,2.87172,1.22817,8.70734
0.6484,2.80469,1.35745,8.50264
0.6535,2.68738,1.16473,8.59362
0.7130,2.43001,1.13001,8.61876
0.7130,2.34143,1.44604,8.71572
0.7130,2.14990,1.36344,8.95273
0.7437,2.09962,0.97560,9.10236
0.7685,1.87458,0.52670,9.25678
0.7727,1.76924,0.06344,9.08321
0.8119,1.90690,0.53269,9.04131
0.8179,2.47550,1.09650,9.38966
0.8340,2.59161,0.81519,9.63744
0.8692,2.17384,0.34116,9.19214
0.8919,1.96555,0.20589,8.62354
0.8919,1.83867,0.43932,8.25246
0.9150,1.43885,0.50396,8.41286
0.9425,1.38139,0.51353,8.42124
0.9525,1.35267,0.43932,8.45237
0.9814,1.03186,0.02993,8.45955
1.0113,0.81040,-0.33158,8.40568
1.0113,0.72781,-0.55782,8.47391
1.0492,0.92412,-0.59493,8.45955
1.0492,0.96003,-0.70865,8.47631
1.0693,0.28370,-0.86307,8.81268
1.1164,-0.18913,-1.10847,9.20172
1.1165,0.14125,-1.19585,9.45310
1.1291,0.08260,-1.29640,9.53570
1.1685,-0.47643,-1.53821,9.36691
1.1818,-0.70746,-1.60046,9.18616
1.1885,-0.55064,-1.45681,9.11074
1.2185,-0.00838,-1.08812,9.14665
1.2481,-0.00718,-1.29281,9.56083
1.2481,-0.61528,-1.96915,9.72483
1.2783,-0.92173,-2.36417,9.83017
1.3081,-0.97320,-2.45754,9.76074
1.3081,-0.93130,-2.42522,9.43634
1.3480,-0.89898,-2.42642,9.25439
1.3668,-0.88462,-2.64907,9.89601
1.3669,-0.67154,-3.20809,10.40834
1.4062,-0.36869,-3.61868,10.34969
1.4185,-0.25617,-3.75514,9.97501
1.4267,-0.69309,-4.16693,10.18569
1.4484,-1.02707,-4.40514,9.96424
1.4744,-0.59493,-4.00293,9.36093
1.4854,-0.05028,-3.69888,9.58358
1.5160,0.00599,-3.97301,10.11148
1.5455,-0.53987,-4.09870,10.05402
1.5455,-0.46086,-3.76113,10.13422
1.5683,-0.18674,-3.62347,10.44186
1.6058,-0.26694,-3.60551,10.30659
1.6058,-0.67753,-3.50137,10.17372
1.6647,-0.30166,-3.00459,9.80862
1.6648,-0.15442,-2.68139,9.60153
1.6648,-0.11731,-2.98424,9.77989
1.7177,-0.04429,-3.27273,10.01811
1.7178,-0.00958,-3.50257,10.12943
1.7215,-0.04788,-3.83894,10.06240
1.7655,-0.29208,-4.00293,10.08993
1.7655,-0.93490,-4.09989,9.60752
1.7804,-0.92173,-4.01849,9.20890
1.8011,-0.38784,-3.87006,9.28551
1.8402,-0.02274,-3.77071,9.32501
1.8402,-0.13168,-3.83535,9.26277
1.8615,0.02394,-3.94188,9.12630
1.8992,0.05866,-3.78986,8.88091
1.8992,-0.17477,-3.59713,8.62474
1.9357,-0.42376,-3.90597,8.81507
1.9590,-0.25497,-3.80542,8.91203
1.9590,-0.11372,-3.45708,9.04730
2.0014,-0.42854,-3.66537,9.32382
2.0019,-0.38545,-3.69529,9.14187
2.0192,-0.04908,-3.57080,9.35973
2.0642,0.11970,-3.37448,9.42198
2.0642,-0.26215,-3.42955,9.16341
2.0789,-0.36031,-3.54207,9.06166
2.1182,-0.30046,-3.51334,9.06526
2.1387,-0.09696,-3.50735,9.37290
2.1399,-0.22505,-3.32899,9.18257
2.1688,-0.34116,-3.11233,9.04371
2.1977,-0.08978,-3.10874,8.94555
2.1977,0.15322,-3.12669,9.18017
2.2581,-0.04788,-3.02375,9.10835
2.2581,-0.49917,-3.09437,8.70494
2.2581,-0.34475,-2.96150,8.49905
2.3174,0.00239,-2.71491,8.87014
2.3174,0.17956,-2.60598,9.36452
2.3174,-0.04429,-2.66942,9.40282
2.3367,-0.11611,-2.82623,9.40761
2.3684,-0.00718,-2.89686,9.61949
2.3755,-0.13048,-2.71610,9.45669
2.4048,-0.13287,-2.41924,9.32741
2.4167,0.22385,-2.48148,9.54886
2.4346,-0.00838,-2.61914,9.54647
2.4659,-0.37827,-2.51261,9.23404
2.4957,-0.35313,-2.56647,8.98146
2.4958,0.03112,-2.67541,9.08201
2.5176,0.28370,-2.52218,9.05448
2.5369,0.51952,-2.45036,9.03293
2.5556,0.12569,-2.25524,9.21369
2.6024,-0.20230,-2.40846,9.18017
2.6024,0.09457,-2.35819,9.23763
2.6126,0.57937,-2.27679,9.55006
2.6642,0.67514,-2.45874,9.75835
2.6655,0.40700,-2.43121,9.60991
2.6737,-0.05387,-2.35101,9.58118
2.7183,0.15442,-2.48148,9.61709
2.7183,0.41418,-2.34023,9.51654
2.7338,0.26215,-2.27200,9.23883
2.7682,0.32560,-2.17264,9.04012
2.7932,0.07901,-2.19419,9.15982
2.7937,0.05387,-2.06970,9.37888
2.8173,0.29567,-1.85662,9.56203
2.8514,0.45608,-1.53941,9.47345
2.8514,0.65957,-1.33351,9.76673
2.8697,0.77449,-1.41970,9.95586
2.9096,0.86307,-1.33351,9.79785
2.9096,0.73379,-1.13600,9.72722
2.9376,0.44770,-1.28922,9.89960
2.9681,0.57698,-1.38379,9.88882
2.9690,0.87983,-1.04742,9.67575
3.0030,1.22338,-0.76132,9.57999
3.0167,1.18508,-0.78048,9.77511
3.0295,1.09410,-0.99235,9.48063
3.0648,1.30239,-0.77329,9.67695
3.0696,1.67108,-0.59972,10.29822
3.0927,1.31316,-0.85589,10.64656
3.1200,0.98397,-0.87624,10.03726
3.1376,1.52983,-0.37109,9.71884
3.1499,1.89613,-0.15203,9.52492
3.2044,2.09484,-0.00958,9.11314
3.2061,2.13913,0.17956,9.34297
3.2062,1.67228,0.22505,9.99776
3.2653,1.98710,0.36749,10.06120
3.2653,2.13075,0.74935,10.36884
3.2654,2.17743,0.84631,11.02123
3.3181,1.78001,-0.16160,11.18284
3.3181,0.90497,-1.64115,9.80623
3.3329,0.62127,-3.00938,9.15384
3.3684,0.85709,-5.80210,10.16295
3.3684,0.39503,-9.86847,11.22593
3.3866,0.02634,-14.47592,11.57068
3.4174,-0.06584,-15.50299,9.70568
3.4458,-2.44078,-13.25253,8.33625
3.4458,-4.52006,-11.80171,7.04583
3.4669,-4.59667,-10.33293,5.91821
3.5054,-3.09198,-8.74205,5.52438
3.5054,-1.45801,-6.97640,5.49685
3.5372,-0.96003,-5.72788,5.55072
3.5634,-0.62127,-5.16647,5.87392
