time,X_value,Y_value,Z_value
Started:,Dec 05 2019,19:07:54:830, 
0.0245,-1.58609,-5.85716,7.50311
0.0499,-1.58489,-5.86674,7.37981
0.0706,-1.73452,-5.79851,7.39537
0.0817,-1.69263,-5.67521,7.43128
0.1103,-1.67707,-5.64648,7.39896
0.1396,-1.70580,-5.68479,7.42290
0.1586,-1.67108,-5.72668,7.41333
0.1586,-1.73572,-5.72549,7.42051
0.1817,-1.79557,-5.77696,7.46121
0.2048,-1.77044,-5.79013,7.49592
0.2254,-1.74410,-5.86075,7.54261
0.2678,-1.71777,-5.87512,7.54141
0.2678,-1.65791,-5.89427,7.62042
0.2817,-1.60764,-5.97328,7.74491
0.3378,-1.55377,-5.99123,7.80476
0.3386,-1.51906,-5.90744,7.74970
0.3482,-1.53581,-5.82245,7.70182
0.3581,-1.60285,-5.66204,7.58211
0.3817,-1.67587,-5.46333,7.54500
0.4045,-1.74530,-5.30772,7.60366
0.4252,-1.78959,-5.29455,7.61323
0.4666,-1.86261,-5.37954,7.61563
0.4672,-1.94880,-5.44777,7.60366
0.4815,-2.05055,-5.56748,7.62520
0.5270,-2.04456,-5.72070,7.65753
0.5271,-2.04935,-5.88350,7.70421
0.5591,-2.05653,-5.98046,7.67189
0.5591,-2.06611,-6.13608,7.61084
0.5824,-2.11519,-6.34197,7.58690
0.6056,-2.02660,-6.41140,7.52705
0.6264,-1.85782,-6.29409,7.50670
0.6507,-1.65552,-6.15164,7.46719
0.6754,-1.48554,-6.00679,7.42889
0.6821,-1.41970,-5.98525,7.44325
0.7040,-1.32872,-5.88709,7.45163
0.7341,-1.27486,-5.73506,7.44445
0.7602,-1.31316,-5.77576,7.36904
0.7602,-1.41850,-5.91103,7.31397
0.7827,-1.49272,-6.00919,7.30918
0.8034,-1.52504,-6.14805,7.32834
0.8229,-1.48195,-6.16241,7.40974
0.8721,-1.36703,-6.14924,7.39298
0.8736,-1.38020,-6.16121,7.39417
0.8855,-1.45561,-6.12770,7.37263
0.8928,-1.39576,-5.98525,7.32953
0.9328,-1.41372,-5.86315,7.38340
0.9424,-1.43167,-5.78175,7.30320
0.9585,-1.43526,-5.65127,7.33672
0.9827,-1.49751,-5.63930,7.38939
1.0029,-1.62559,-5.86435,7.38101
1.0254,-1.66988,-6.04151,7.40255
1.0404,-1.65672,-6.08101,7.38939
1.0616,-1.68545,-6.06545,7.29003
1.0821,-1.71657,-6.07024,7.23497
1.0920,-1.72016,-6.05108,7.21581
1.1198,-1.74051,-6.05707,7.19307
1.1404,-1.74290,-6.07742,7.11646
1.1604,-1.73572,-6.10974,7.11167
1.1798,-1.68185,-6.05348,7.12723
1.1986,-1.70580,-6.09897,7.15836
1.2255,-1.74530,-6.21508,7.13082
1.2308,-1.75966,-6.20550,7.13202
1.2684,-1.78600,-6.23184,7.17511
1.2832,-1.76565,-6.25458,7.22180
1.2916,-1.79198,-6.30845,7.20624
1.3384,-1.97274,-6.38267,7.20265
1.3385,-1.99428,-6.48920,7.34031
1.3574,-1.77163,-6.58257,7.34869
1.3825,-1.72136,-6.58617,7.33193
1.4069,-1.69742,-6.60771,7.38460
1.4173,-1.71178,-6.75256,7.29841
1.4324,-1.80994,-6.85550,7.19187
1.4665,-1.80036,-6.85909,7.23616
1.4777,-1.74769,-6.86987,7.14399
1.4920,-1.84226,-6.85550,7.07336
1.5380,-1.78959,-6.76812,7.02069
1.5390,-1.71537,-6.56701,6.94767
1.5601,-1.77403,-6.32880,6.87226
1.5829,-1.77044,-6.04510,6.78727
1.5966,-1.75607,-5.82005,6.68193
1.6257,-1.95598,-5.70394,6.61968
1.6257,-1.75248,-5.46812,6.80403
1.6543,-1.35626,-5.37475,6.92493
1.6759,-1.33950,-5.54713,6.92134
1.6929,-1.62080,-5.85357,6.80642
1.7149,-1.96675,-6.12410,6.75375
1.7326,-2.31988,-6.39464,6.91655
1.7591,-2.59401,-6.62447,6.97521
1.7729,-2.72089,-6.74298,6.93451
1.8041,-2.90404,-6.80762,6.86029
1.8056,-3.11712,-6.95246,6.80403
1.8270,-3.15662,-7.02309,6.83994
1.8712,-3.19133,-6.98119,6.80762
1.8712,-3.06804,-6.74657,6.77171
1.8818,-2.90404,-6.58856,6.64602
1.9419,-2.82743,-6.51075,6.48561
1.9435,-2.90883,-6.45449,6.50955
1.9575,-3.11592,-6.40900,6.64721
1.9825,-3.21168,-6.38027,6.47484
1.9825,-3.21767,-6.32521,6.32281
