time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:01:05:811, 
0.0230,-3.91794,-4.27347,7.68027
0.0339,-4.06757,-4.31417,7.63957
0.0926,-3.97540,-4.31417,7.73294
0.0926,-3.81380,-4.28424,7.82032
0.0926,-3.79106,-4.28903,7.82631
0.1540,-3.87964,-4.34888,7.75329
0.1540,-4.01012,-4.34050,7.59887
0.1540,-4.00054,-4.33691,7.58091
0.2008,-3.98019,-4.31776,7.54859
0.2008,-4.05321,-4.36205,7.53183
0.2113,-4.06757,-4.34529,7.48395
0.2533,-4.09870,-4.35247,7.44924
0.2533,-4.09511,-4.36564,7.40375
0.2712,-4.09511,-4.33811,7.38699
0.2941,-4.07476,-4.30579,7.40016
0.3305,-4.12384,-4.31417,7.37861
0.3305,-4.14179,-4.31536,7.35347
0.3536,-4.20164,-4.33691,7.39896
0.3898,-4.19566,-4.39676,7.42410
0.3898,-4.18249,-4.41113,7.41213
0.4194,-4.22439,-4.41113,7.42051
0.4484,-4.25910,-4.35726,7.45522
0.4485,-4.20284,-4.36923,7.53423
0.4889,-4.20164,-4.43267,7.58690
0.4939,-4.24713,-4.44704,7.57373
0.5077,-4.23396,-4.44464,7.58810
0.5410,-4.22080,-4.49372,7.66231
0.5549,-4.23995,-4.54879,7.66950
0.5701,-4.22918,-4.54520,7.64675
0.6050,-4.23037,-4.53921,7.65513
0.6286,-4.19566,-4.58350,7.64555
0.6286,-4.18489,-4.60864,7.46241
0.6528,-4.22080,-4.65293,7.42769
0.6883,-4.16693,-4.70919,7.44684
0.6895,-4.16813,-4.68166,7.39777
0.7479,-4.10827,-4.72834,7.33432
0.7479,-3.97899,-4.78939,7.24813
0.7479,-3.92034,-4.83608,7.22539
0.8032,-3.84253,-4.93783,7.26729
0.8032,-3.78746,-4.99529,7.17871
0.8051,-3.84612,-5.04796,7.34390
0.8265,-3.56122,-5.09464,7.63957
0.8498,-3.63185,-5.17724,7.72456
0.8658,-3.81380,-5.16287,7.56416
0.8950,-3.83654,-5.11619,7.38939
0.9254,-3.77789,-5.13774,7.39657
0.9254,-3.63664,-5.05993,7.30200
0.9540,-3.78387,-5.08028,7.27447
0.9855,-3.90478,-5.13893,7.28405
0.9855,-3.97181,-5.19998,7.27926
1.0235,-4.04603,-5.13295,7.33193
1.0278,-4.16334,-5.11739,7.26609
1.0440,-4.20164,-5.05275,7.13561
1.0936,-4.38599,-5.03599,7.07456
1.0950,-4.29142,-4.95339,7.21462
1.1037,-4.22678,-5.01803,7.31876
1.1538,-4.04363,-4.89354,7.27447
1.1538,-4.00772,-4.88755,7.14878
1.1626,-4.13581,-4.95578,7.14878
1.2028,-3.96942,-4.95698,7.20743
1.2226,-3.95385,-4.84087,7.32475
1.2242,-3.97660,-4.90431,7.20265
1.2638,-3.92632,-4.97254,7.22539
1.2814,-4.02807,-4.96775,7.21701
1.2814,-4.12144,-5.05873,7.15357
1.3038,-4.04603,-5.05035,7.17511
1.3399,-3.97899,-5.25026,7.13801
1.3399,-3.93829,-5.09704,7.11646
1.3623,-3.96702,-5.15210,7.13202
1.3998,-3.96942,-5.13893,7.24454
1.3998,-4.02089,-5.23829,7.29721
1.4282,-4.16693,-5.22273,7.22419
1.4535,-4.22918,-5.06591,7.08294
1.4595,-4.12623,-4.98092,7.10688
1.4899,-4.30220,-5.04796,7.09491
1.5043,-4.43746,-5.05753,7.11406
1.5193,-4.47337,-5.01205,7.15117
1.5540,-4.39676,-5.06232,7.12603
1.5618,-4.29621,-5.00965,7.06977
1.5787,-4.32614,-5.01803,7.02668
1.6041,-4.43746,-4.97853,6.90099
1.6280,-4.43746,-4.97015,6.74418
1.6450,-4.43267,-4.90431,6.81360
1.6880,-4.33092,-4.92586,7.03865
1.6880,-4.16573,-5.03718,7.21940
1.6982,-4.19207,-5.09225,7.23736
1.7500,-4.20763,-5.08985,7.13801
1.7501,-4.07236,-5.06472,7.01710
1.7564,-3.94667,-5.08147,7.12723
1.8042,-3.79106,-5.18203,7.17392
1.8042,-3.71205,-5.22871,7.18708
1.8173,-3.75514,-5.23709,7.17511
1.8533,-3.83176,-5.27659,7.09850
1.8756,-3.90717,-5.29814,7.06618
1.8756,-3.94907,-5.20716,7.11646
1.8977,-4.05560,-5.12936,7.12005
1.9357,-4.10947,-5.06352,7.14040
1.9357,-4.10468,-5.04317,7.23257
1.9612,-4.09870,-5.05035,7.22898
1.9941,-4.06398,-4.94381,7.25412
1.9941,-4.12144,-4.97613,7.22778
2.0258,-4.11665,-4.93543,7.26848
2.0536,-4.04603,-4.96177,7.34270
2.0536,-4.03645,-4.95219,7.42051
2.0930,-4.03645,-4.92466,7.47797
2.0947,-4.11426,-4.95698,7.50071
2.1116,-4.15256,-4.98571,7.47198
2.1519,-4.04483,-5.05275,7.53662
2.1528,-3.99575,-5.11978,7.54620
2.1776,-4.09271,-5.15569,7.40255
2.2024,-4.15975,-5.14851,7.26130
2.2218,-4.16214,-5.14372,7.31876
2.2301,-4.18608,-5.14013,7.48994
