time,X_value,Y_value,Z_value
Started:,Dec 05 2019,17:52:11:716, 
0.0205,-1.20902,-0.71703,9.07962
0.0461,-1.67228,-0.46685,9.52492
0.0613,-0.96961,-0.55783,9.29868
0.0878,-0.34355,-0.77928,9.64223
0.0969,-0.39862,-0.72900,9.83256
0.1209,-0.71105,-0.60331,9.23643
0.1463,-1.30718,-0.71105,8.87852
0.1539,-1.47357,-0.78407,9.03174
0.1796,-1.22219,-0.83434,9.44472
0.1957,-1.15156,-0.87504,9.62547
0.2212,-1.37302,-0.80801,9.47465
0.2397,-1.52025,-0.70387,9.31664
0.2890,-1.45082,-0.57817,9.32741
0.2890,-1.26528,-0.56501,9.50457
0.2890,-1.23057,-0.56740,9.53210
0.3221,-1.22458,-0.51832,9.60512
0.3277,-1.21979,-0.50994,9.66857
0.3538,-1.22338,-0.55663,9.68892
0.3772,-1.21261,-0.62127,9.71525
0.3966,-1.20303,-0.69668,9.76553
0.4174,-1.12044,-0.69908,9.79665
0.4474,-0.97679,-0.63444,9.75835
0.4761,-0.90258,-0.50635,9.64463
0.4761,-0.94208,-0.44411,9.57640
0.4873,-0.98637,-0.44889,9.50098
0.5177,-1.09769,-0.50156,9.67096
0.5364,-1.18268,-0.67873,9.79426
0.5473,-1.14438,-0.68352,9.89481
0.5865,-1.15994,-0.65119,9.77870
0.5960,-1.10129,-0.62486,9.74159
0.6215,-0.97200,-0.54346,9.76912
0.6452,-0.90497,-0.51353,9.77630
0.6466,-1.07495,-0.55902,9.70807
0.6895,-1.16832,-0.60451,9.66258
0.6896,-1.13480,-0.59733,9.82658
0.7152,-1.11565,-0.50037,10.06718
0.7470,-1.10727,-0.38904,10.11866
0.7471,-1.10129,-0.37946,10.00135
0.7746,-1.00073,-0.29687,9.89361
0.8027,-0.84871,-0.19632,9.74278
0.8232,-0.76851,-0.17597,9.60632
0.8336,-0.75773,-0.27891,9.44592
0.8464,-0.79245,-0.29807,9.18616
0.8885,-0.71823,-0.17716,8.88929
0.8886,-0.65000,-0.02274,8.63671
0.9129,-0.61050,0.06703,8.59122
0.9468,-0.66795,-0.05387,8.59721
0.9468,-0.73259,-0.23462,8.57925
0.9817,-0.71943,-0.32919,8.61636
0.9976,-0.68591,-0.28250,8.77677
1.0124,-0.67992,-0.29208,8.94555
1.0211,-0.81998,-0.27053,9.02216
1.0480,-1.02467,-0.40341,9.18855
1.0717,-1.16234,-0.61648,9.30227
1.0891,-1.00792,-0.76372,9.48662
1.1097,-0.72421,-0.68352,9.45908
1.1313,-0.45967,-0.53748,9.43275
1.1471,-0.26215,-0.59254,9.31065
1.1805,0.10175,-0.80681,9.55605
1.1918,0.44530,-0.96841,9.68293
1.2222,0.21188,-1.00672,9.41958
1.2222,-0.01436,-1.13121,9.22566
1.2490,-0.17238,-1.26528,9.27234
1.2885,-0.37109,-1.28324,9.13828
1.2885,-0.30166,-1.25690,8.94914
1.3131,-0.34595,-1.41012,8.90246
1.3488,-0.64521,-1.65432,8.55890
1.3488,-0.69549,-1.55018,8.22014
1.3694,-0.67873,-1.52863,8.28358
1.3980,-0.66436,-1.94880,8.74445
1.4215,-0.78886,-2.44318,9.04969
1.4215,-1.05460,-2.59760,9.23883
1.4485,-1.16353,-2.71850,9.31185
1.4877,-1.01749,-2.68618,9.41838
1.4877,-0.79245,-2.56049,10.05641
