time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:55:49:476, 
0.0241,0.36271,-7.15237,6.99675
0.0775,0.78886,-6.89381,7.05900
0.0775,1.21860,-6.39823,7.01232
0.0886,0.48720,-6.72263,6.81241
0.0992,0.10295,-6.89022,6.70587
0.1384,0.38066,-6.64841,6.83994
0.1390,0.51952,-6.53948,6.80283
0.1668,0.59015,-6.65679,6.84712
0.1859,0.71464,-6.77650,6.88782
0.2069,0.76372,-6.86867,6.91176
0.2333,0.58296,-6.84233,6.80762
0.2373,0.55543,-6.65320,6.67954
0.2665,0.66795,-6.53230,6.72502
0.3000,0.56620,-6.70946,6.75854
0.3000,0.28969,-6.79924,6.78966
0.3252,0.61528,-6.71066,6.81600
0.3374,0.64760,-6.95965,7.29841
0.3665,0.25856,-7.31517,7.51029
0.3852,0.35433,-7.07217,7.24454
0.4146,0.42735,-6.72861,7.06618
0.4335,0.54466,-6.52631,6.85430
0.4335,0.74696,-6.54547,6.72143
0.4844,0.98278,-6.55624,6.63524
0.4844,1.10129,-6.64961,6.80523
0.4999,1.02707,-6.85071,6.96443
0.5274,0.72541,-6.98359,6.71664
0.5381,0.76372,-6.61968,6.28211
0.5670,0.87265,-6.41499,6.40541
0.5890,0.51353,-6.83276,6.64841
0.6127,0.24300,-7.12005,6.65799
0.6285,0.34475,-6.86149,6.45210
0.6331,0.40341,-6.52033,6.52631
0.6843,0.17477,-6.49399,6.75734
0.6859,-0.34714,-6.54906,6.80044
0.6997,-0.74337,-6.42576,6.90697
0.7387,-0.72421,-6.50117,7.25771
0.7388,-0.50515,-6.72143,7.32594
0.7676,-0.60571,-6.74178,7.06139
0.7884,-0.49558,-6.45210,7.05301
0.8018,-0.15083,-6.21867,7.42530
0.8344,0.24540,-6.11213,7.50430
0.8344,0.48720,-6.06784,7.51867
0.8613,0.47283,-6.18515,7.64316
0.8796,0.36869,-6.44491,7.85743
0.9004,0.44650,-6.82318,8.14592
0.9207,0.40341,-6.95246,7.73055
0.9397,0.52550,-6.51075,7.25412
0.9679,0.65119,-6.04869,7.14040
0.9679,0.20709,-6.34556,7.20145
1.0088,-0.24659,-6.73221,6.93690
1.0337,-0.29088,-6.56342,6.58138
1.0337,-0.27053,-6.47125,6.59694
1.0801,-0.33757,-6.81839,6.73460
1.0814,-0.36151,-7.16554,6.70587
1.0981,-0.56142,-7.24813,6.53709
1.1385,-0.76731,-7.24574,6.65320
1.1385,-0.57937,-7.14399,6.86388
1.1570,-0.32679,-6.98239,6.98598
1.1672,-0.30525,-6.87465,6.72143
1.1877,-0.59733,-6.63285,6.39943
1.2180,-0.75175,-6.38865,6.64123
1.2368,-0.71943,-6.52033,7.21581
1.2776,-0.81040,-6.73580,7.44445
1.2776,-0.72062,-6.58377,7.50909
1.3007,-0.58416,-6.55265,7.58570
1.3372,-0.69788,-6.71186,7.59288
1.3372,-0.77210,-6.76093,7.40854
1.3715,-0.77449,-6.82318,7.21701
