time,X_value,Y_value,Z_value
Started:,Dec 05 2019,17:47:36:915, 
0.0201,-1.53701,-5.15210,8.11839
0.0508,-1.76565,-4.83368,8.05016
0.0508,-1.73333,-4.71278,8.11480
0.0807,-1.50349,-4.84087,8.20577
0.0998,-1.42688,-4.81334,8.33865
0.1181,-1.49631,-4.74271,8.17465
0.1395,-1.54060,-4.68405,8.16268
0.1507,-1.52744,-4.77144,8.21415
0.1854,-1.34189,-4.85523,8.29555
0.2007,-1.24733,-4.93783,8.36498
0.2187,-0.96003,-4.60505,8.49546
0.2514,-1.33112,-4.77982,8.11121
0.2514,-1.51427,-4.94860,8.03100
0.2876,-1.27007,-4.87558,8.01425
0.2976,-1.26528,-4.88276,8.04417
0.3172,-1.17790,-4.96057,8.19380
0.3458,-1.03305,-5.00247,8.24288
0.3516,-1.05460,-4.99050,8.13754
0.3771,-1.12882,-4.88755,8.07889
0.4010,-1.25451,-4.78221,7.98791
0.4162,-1.40653,-4.55597,7.79519
0.4363,-1.55018,-4.27466,7.80955
0.4499,-1.62440,-4.11665,7.83110
0.4858,-1.60883,-4.22558,7.95918
0.4996,-1.56574,-4.46260,8.04657
0.5189,-1.73452,-4.69004,8.13994
0.5517,-1.61602,-4.80017,8.23450
0.5517,-1.65552,-4.88755,8.22612
0.5858,-1.76206,-4.94022,8.22852
0.5858,-1.74650,-4.96536,8.21415
0.6182,-1.55257,-4.96416,8.15430
0.6517,-1.35267,-4.87558,8.29914
0.6517,-0.97799,-4.88516,8.40808
0.6743,-0.68471,-4.83967,8.27999
0.7039,-0.47882,-4.73553,8.23331
0.7194,-0.37348,-4.83967,8.19979
0.7345,-0.54466,-5.14612,8.10402
0.7531,-0.78407,-5.34004,8.10762
0.7893,-0.76372,-5.44777,7.98911
0.7893,-0.95764,-5.66923,7.79519
0.8232,-1.07016,-5.87153,7.88496
0.8534,-1.22219,-6.04271,7.76885
0.8534,-1.35027,-6.04510,7.67548
0.8817,-1.44723,-5.87751,7.76406
0.9045,-1.39935,-5.86913,7.77005
0.9045,-1.35985,-6.01039,7.72456
0.9522,-1.29880,-5.97088,7.81913
0.9522,-1.31436,-5.86195,7.71498
0.9727,-1.47716,-5.97926,8.00587
0.9857,-1.70819,-6.03552,8.07051
1.0012,-1.27127,-5.61775,7.97355
1.0349,-1.01390,-5.31011,7.82870
1.0522,-1.11326,-5.39151,7.87898
1.0918,-1.15276,-5.73028,7.99390
1.0919,-1.29401,-6.05707,8.00826
1.1193,-1.50349,-6.07622,7.91728
1.1193,-1.58011,-5.90385,7.87659
1.1525,-1.60644,-5.85836,7.99988
1.1863,-1.74410,-6.08221,8.00108
1.1863,-1.62320,-6.06545,7.88137
1.2014,-1.52983,-5.92899,7.84905
1.2514,-1.46040,-5.93377,7.72217
1.2515,-1.31077,-5.92180,7.68147
1.2688,-1.06777,-5.70035,7.60007
1.2876,-0.98637,-5.47171,7.65753
1.3029,-1.04622,-5.28976,7.63358
1.3206,-1.11685,-5.28737,7.71857
1.3464,-1.11445,-5.38912,7.84307
1.3872,-1.18747,-5.39869,7.84187
1.3872,-1.33232,-5.48129,7.81075
1.4016,-1.44244,-5.66803,7.91848
1.4464,-1.53941,-5.73985,7.84426
1.4464,-1.47237,-5.62853,7.75927
1.4864,-1.37541,-5.62015,7.77723
1.4865,-1.31795,-5.75900,7.73414
1.5021,-1.19944,-5.67401,7.73174
1.5188,-1.21620,-5.55551,7.85624
1.5520,-1.32394,-5.60937,7.92327
1.5666,-1.26528,-5.65965,7.85863
1.5859,-1.22219,-5.52917,7.79519
1.6014,-1.06298,-5.29096,7.62880
1.6249,-1.14797,-5.24906,7.66112
1.6514,-1.18388,-5.35081,7.66590
1.6839,-1.24733,-5.51241,7.88257
1.6849,-1.25451,-5.53994,7.99509
1.7037,-1.01869,-5.32088,7.87299
1.7197,-0.76013,-5.08028,7.90651
1.7438,-0.75773,-4.97494,8.25126
1.7859,-0.79245,-5.02042,8.36259
1.7860,-0.63683,-4.82770,8.33505
1.8022,-0.57219,-4.63976,8.36378
1.8249,-0.49199,-4.62540,8.51820
1.8416,-0.56142,-4.69722,8.68938
1.8553,-0.77449,-4.85404,8.89767
1.8818,-0.76252,-4.63498,9.09997
1.9003,-0.51114,-4.32614,8.87014
1.9188,-0.29447,-3.93231,8.41406
1.9528,-0.09816,-3.86647,8.42364
1.9546,-0.22624,-3.83654,9.22446
1.9807,-0.25737,-3.99814,9.85531
2.0011,0.32320,-3.24879,9.45310
2.0204,1.00073,-2.04935,9.64104
2.0402,1.54659,-0.99235,11.61377
2.0504,1.57053,-0.82956,12.08302
2.0895,1.07256,-0.71823,12.53430
2.1033,0.54945,-0.82596,12.92454
2.1208,0.21906,-2.02301,12.90539
2.1475,-0.38904,-4.02448,11.55392
2.1509,-0.14005,-6.62687,7.86222
2.1858,1.55976,-10.09591,4.58350
2.2019,1.37062,-15.30068,4.74391
2.2189,-0.68591,-16.04884,5.72070
2.2507,-1.09650,-13.12565,5.00247
